,title,price,retail_price,units_sold,uses_ad_boosts,rating_sold,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,origin_country,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_id,product_url,product_id,listed_products,total_units_sold,mean_units_sold_per_product,rating_employee,merchant_ratings_count,mean_product_prices,mean_retail_prices,mean_product_ratings_count,discount_percentage,seller_reputation
0,2020 Summer Vintage Flamingo Print  Pajamas Set Casual Loose T Shirt Top And Elastic Shorts Women Sleepwear Night Wear Loungewear Sets,16.0,14,100,No,3.76,54,26.0,8.0,10.0,1.0,9.0,No,Buena,No,"Summer,Fashion,womenunderwearsuit,printedpajamasset,womencasualshort,Women's Fashion,flamingo,loungewearset,Casual,Shirt,casualsleepwear,Shorts,flamingotshirt,Elastic,Vintage,Tops,tshirtandshortsset,Women,Sleepwear,Print,womenpajamasset,womennightwear,Pajamas,womensleepwearset",white,M,Livraison standard,4,No,34,50,CN,zgrdejia,,568,595097d6a26f6e070cb878d1,https://www.wish.com/c/5e9ae51d43d6a96e303acdb0,5e9ae51d43d6a96e303acdb0,1,100,100.0,4.129,568.0,16.0,14.0,54.0,14.29,Buena
1,SSHOUSE Summer Casual Sleeveless Soirée Party Soirée sans manches Vêtements de plage sexy Mini robe femme wshC1612242400387A21,8.0,22,20000,Si,3.45,6135,2269.0,1027.0,1118.0,644.0,1077.0,No,Buena,No,"Mini,womens dresses,Summer,Patchwork,fashion dress,Dress,Mini dress,Women's Fashion,Women S Clothing,backless,party,summer dresses,sleeveless,sexy,Casual",green,XS,Livraison standard,2,No,41,50,CN,sarahouse,83 % avis positifs ,17752,56458aa03a698c35c9050988,https://www.wish.com/c/58940d436a0d3d5da4e95a38,58940d436a0d3d5da4e95a38,6,21400,3567.0,3.9,17752.0,5.68,10.33,1057.0,-63.64,Regular
2,Nouvelle mode d'été femmes robe décontractée col rond lâche Big Swing jupe sans manches Soild couleur robe de plage,4.9,8,1000,Si,3.83,99,43.0,18.0,23.0,8.0,7.0,No,Buena,No,"Summer,Fashion,Necks,Beach,Dress,Loose,beach dress,Round neck,Women's Fashion,sleeveless,Skirts,Casual,Women",white,XXS,Livraison standard,1,No,41,50,CN,sarahouse,83 % avis positifs ,17752,56458aa03a698c35c9050988,https://www.wish.com/c/5df2576d68963c1660471f9a,5df2576d68963c1660471f9a,6,21400,3567.0,3.9,17752.0,5.68,10.33,1057.0,-38.75,Regular
3, Summer Women s Fashion Lace Up Tie Pants Plus Size Casual High Waist Short Pants(S-5XL),4.93,6,100,No,3.77,47,22.0,7.0,8.0,5.0,5.0,No,Buena,No,"Summer,Shorts,Lace,pants,Waist,Short pants,Yellow,Women's Fashion,Plus Size,Lace Up,Women,Fashion,Casual,high waist",red,S,Standard Shipping,1,No,41,50,CN,sarahouse,83% Positive Feedback ,17752,56458aa03a698c35c9050988,https://www.wish.com/c/5d58daef3159a812b05933d2,5d58daef3159a812b05933d2,6,21400,3567.0,3.9,17752.0,5.68,10.33,1057.0,-17.83,Regular
4,Nouvelle mode d'été femmes robe décontractée col rond lâche Big Swing jupe sans manches Soild couleur robe de plage,5.65,10,100,Si,2.86,7,1.0,1.0,2.0,2.0,1.0,No,Buena,No,"Summer,Fashion,Necks,Skirts,Dress,Loose,Women's Fashion,Round neck,beach dress,sleeveless,Beach,Casual,Women",black,XXS,Livraison standard,1,No,41,50,CN,sarahouse,83 % avis positifs ,17752,56458aa03a698c35c9050988,https://www.wish.com/c/5e9fa7de39682a0043ab7898,5e9fa7de39682a0043ab7898,6,21400,3567.0,3.9,17752.0,5.68,10.33,1057.0,-43.5,Regular
5,Nouvelle mode d'été femmes robe décontractée col rond lâche Big Swing jupe sans manches Soild couleur robe de plage,5.65,10,100,Si,2.86,7,1.0,1.0,2.0,2.0,1.0,No,Buena,No,"Summer,Fashion,Necks,Skirts,Dress,Loose,Women's Fashion,Round neck,beach dress,sleeveless,Beach,Casual,Women",black,XXS,Livraison standard,1,No,41,50,CN,sarahouse,83 % avis positifs ,17752,56458aa03a698c35c9050988,https://www.wish.com/c/5e9fa7de39682a0043ab7898,5e9fa7de39682a0043ab7898,6,21400,3567.0,3.9,17752.0,5.68,10.33,1057.0,-43.5,Regular
6, Summer Women s Fashion Lace Up Tie Pants Plus Size Casual High Waist Short Pants(S-5XL),4.93,6,100,No,3.77,47,22.0,7.0,8.0,5.0,5.0,No,Buena,No,"Summer,Shorts,Lace,pants,Waist,Short pants,Yellow,Women's Fashion,Plus Size,Lace Up,Women,Fashion,Casual,high waist",red,S,Standard Shipping,1,No,41,50,CN,sarahouse,83% Positive Feedback ,17752,56458aa03a698c35c9050988,https://www.wish.com/c/5d58daef3159a812b05933d2,5d58daef3159a812b05933d2,6,21400,3567.0,3.9,17752.0,5.68,10.33,1057.0,-17.83,Regular
7,2020 Nouvelle Arrivée Femmes Printemps et Été Plage Porter Longue Mince Cardigan Ouvert Avant Kimono Vert Feuille Imprimé En Mousseline de Soie Cardigan S-5XL,8.0,43,100,No,3.57,14,5.0,4.0,2.0,0.0,3.0,No,Buena,No,"Summer,cardigan,women beachwear,chiffon,Sexy women,Coat,summercardigan,openfront,short sleeves,Swimsuit,Women's Fashion,leaf,Green,printed,Spring,longcardigan,Women,Beach,kimono",leopardprint,XS,Livraison standard,3,No,36,50,CN,hxt520,86 % avis positifs ,295,5d464a1ffdf7bc44ee933c65,https://www.wish.com/c/5ea10e2c617580260d55310a,5ea10e2c617580260d55310a,3,120,40.0,3.99,295.0,6.0,48.33,5.0,-81.4,Regular
8,Womens Summer Fashion Lip Print 2pc Set Ladies Casual Col rond T-shirt à manches courtes et short,5.0,51,10,No,5.0,0,,,,,,No,Buena,No,"Summer,Shorts,Shirt,Sleeve,sportsset,short sleeves,Two piece set,lipprint,Ladies,women shorts,Fashion,lip,women t shirt,Round neck,Casual,Print,tracksuitsforwomen,runningset,Necks",black,XS,Livraison standard,1,No,36,50,CN,hxt520,86 % avis positifs ,295,5d464a1ffdf7bc44ee933c65,https://www.wish.com/c/5eb90ab5ad67f63678d15ed9,5eb90ab5ad67f63678d15ed9,3,120,40.0,3.99,295.0,6.0,48.33,5.0,-90.2,Regular
9,Womens Summer Fashion Lip Print 2pc Set Ladies Casual Col rond T-shirt à manches courtes et short,5.0,51,10,No,5.0,0,,,,,,No,Buena,No,"Summer,Shorts,Shirt,Sleeve,sportsset,short sleeves,Two piece set,lipprint,Ladies,women shorts,Fashion,lip,women t shirt,Round neck,Casual,Print,tracksuitsforwomen,runningset,Necks",black,XS,Livraison standard,1,No,36,50,CN,hxt520,86 % avis positifs ,295,5d464a1ffdf7bc44ee933c65,https://www.wish.com/c/5eb90ab5ad67f63678d15ed9,5eb90ab5ad67f63678d15ed9,3,120,40.0,3.99,295.0,6.0,48.33,5.0,-90.2,Regular
10,Hot Summer Cool T-shirt pour les femmes Mode Tops Abeille Lettres imprimées Manches courtes O Neck Coton T-shirts Tops Tee Vêtements,8.0,8,5000,Si,4.03,579,295.0,119.0,87.0,42.0,36.0,No,Buena,No,"Summer,Shorts,Cotton,Cotton T Shirt,Sleeve,printedletterstop,Clothing,Tops,Necks,short sleeves,Women's Fashion,Women Clothing,printed,Women,tshirtforwomen,Fashion,T Shirts,Shirt",black,M,Livraison standard,2,No,41,50,CN,allenfan,,23832,58cfdefdacb37b556efdff7c,https://www.wish.com/c/5cedf17ad1d44c52c59e4aca,5cedf17ad1d44c52c59e4aca,4,11100,2775.0,4.02,23832.0,8.75,9.5,320.0,0.0,Buena
11,Hot Summer Cool T-shirt pour les femmes Mode Tops Abeille Lettres imprimées Manches courtes O Neck Coton T-shirts Tops Tee Vêtements,8.0,8,5000,Si,4.03,579,295.0,119.0,87.0,42.0,36.0,No,Buena,No,"Summer,Shorts,Cotton,Cotton T Shirt,Sleeve,printedletterstop,Clothing,Tops,Necks,short sleeves,Women's Fashion,Women Clothing,printed,Women,tshirtforwomen,Fashion,T Shirts,Shirt",black,M,Livraison standard,2,No,41,50,CN,allenfan,,23832,58cfdefdacb37b556efdff7c,https://www.wish.com/c/5cedf17ad1d44c52c59e4aca,5cedf17ad1d44c52c59e4aca,4,11100,2775.0,4.02,23832.0,8.75,9.5,320.0,0.0,Buena
12,2020 New Fashion Women's Colorful Mouth Butterfly Print Yoga Suit Sexy Sleeveless Fitness Sports Jumpsuit Bodycon Shorts Summer Rompers Plus Size S-5XL,11.0,13,100,Si,3.8,5,2.0,2.0,0.0,0.0,1.0,No,Buena,No,"butterfly,Summer,Plus Size,Colorful,Fitness,Women's Fashion,stretchshort,mouth,sexy,yogasuit,jumpsuit,bodycon jumpsuits,Shorts,Yoga,sportset,jumpsuitromper,Sport,sleevelessjumpsuit,Suits,Print,sleeveless,fitness leggings,Fashion",blue,XL,Livraison standard,2,No,41,50,CN,allenfan,85 % avis positifs ,23832,58cfdefdacb37b556efdff7c,https://www.wish.com/c/5ec23bea8bef5b2d1d994b95,5ec23bea8bef5b2d1d994b95,4,11100,2775.0,4.02,23832.0,8.75,9.5,320.0,-15.38,Buena
13,Femmes Mode D'été Casual Sexy Hors Épaule Sangle Spaghetti T-shirt À Manches Courtes Femme Dames Lettre Imprimer Coton T-shirts Tops Tee Plus La Taille Vêtements En Noir Bleu Gris et Bleu,8.0,9,1000,No,4.22,117,77.0,14.0,11.0,5.0,10.0,No,Buena,No,"Summer,Spaghetti Strap,Cotton T Shirt,letter print,Shirt,topsamptshirt,short sleeves,Ladies,Women's Fashion,Fashion,Casual T-Shirt,Summer Fashion,sexy,Clothing,Casual,T Shirts,European Style,Blues,Plus Size,Shorts,Cotton,Sexy Top,Sleeve,Spaghetti,Tops,Grey,Women,black,Print,women top",purple,M,Livraison standard,3,No,41,50,CN,allenfan,85 % avis positifs ,23832,58cfdefdacb37b556efdff7c,https://www.wish.com/c/5c6a4bbb3abfb51118b000ca,5c6a4bbb3abfb51118b000ca,4,11100,2775.0,4.02,23832.0,8.75,9.5,320.0,-11.11,Buena
14,"Femmes Shorts d'été à lacets taille élastique lâche mince pantalon décontracté, plus la taille S-8XL",2.72,3,100,Si,3.1,20,6.0,4.0,2.0,2.0,6.0,No,Buena,No,"Summer,Plus Size,Lace,Casual pants,Bottom,pants,Loose,Women's Fashion,Shorts,Lace Up,Elastic,Casual,Women",yellow,S,Livraison standard,1,No,35,50,CN,happyhorses,85 % avis positifs ,14482,5ab3b592c3911a095ad5dadb,https://www.wish.com/c/5ebf5819ebac372b070b0e70,5ebf5819ebac372b070b0e70,3,20200,6733.0,4.002,14482.0,6.15,5.67,744.0,-9.33,Buena
15,"Femmes Shorts d'été à lacets taille élastique lâche mince pantalon décontracté, plus la taille S-8XL",2.72,3,100,Si,3.1,20,6.0,4.0,2.0,2.0,6.0,No,Buena,No,"Summer,Plus Size,Lace,Casual pants,Bottom,pants,Loose,Women's Fashion,Shorts,Lace Up,Elastic,Casual,Women",yellow,S,Livraison standard,1,No,35,50,CN,happyhorses,85 % avis positifs ,14482,5ab3b592c3911a095ad5dadb,https://www.wish.com/c/5ebf5819ebac372b070b0e70,5ebf5819ebac372b070b0e70,3,20200,6733.0,4.002,14482.0,6.15,5.67,744.0,-9.33,Buena
16,Femmes été au large de Sholuder col rond imprimé Big Swing lâche décontracté vacances plage longue robe,13.0,11,20000,Si,2.97,2191,603.0,321.0,343.0,263.0,661.0,No,Buena,No,"bigswing,Summer,Necks,long dress,Dress,Maxi Dresses,Round neck,Women's Fashion,printed,long dresses,sleeveless,Holiday,Beach,Casual,Women",green,M,Livraison standard,3,No,35,50,CN,happyhorses,85 % avis positifs ,14482,5ab3b592c3911a095ad5dadb,https://www.wish.com/c/5d07120c11e6065641900fc4,5d07120c11e6065641900fc4,3,20200,6733.0,4.002,14482.0,6.15,5.67,744.0,18.18,Buena
17,Plus la taille d'été femmes décontracté sans manches barboteuses combinaisons combinaison de couleur unie jarretelles pantalons lâche salopette,3.92,9,10,No,5.0,1,1.0,0.0,0.0,0.0,0.0,No,Buena,No,"Deep V-Neck,Summer,Plus Size,Spaghetti Strap,Overalls,Women's Fashion,sleeveless,Women,Casual,jumpsuit",navyblue,Size-XS,Livraison standard,1,No,40,50,CN,zhoulinglinga,75 % avis positifs ,65,5e4b9c3801ba9d210036fc5a,https://www.wish.com/c/5ec645bafd107a02279c8c54,5ec645bafd107a02279c8c54,1,10,10.0,3.508,65.0,3.92,9.0,1.0,-56.44,Regular
