id,nombre,popularity,artista,pais,genero
0,All The Stars (with SZA),90,"Kendrick Lamar, SZA",DK,NULL
1,Skrrt,7,"K27, Einar",DK,NULL
2,Knokler Hårdt,50,Gilli,DK,electronic
3,Full Automatic (feat. Diego),0,"Sleiman, Diego",DK,NULL
4,Hurtige Hænder - Acoustic Version - Moyo Live P3,50,The Minds Of 99,DK,NULL
5,Enamorado,2,Alexander Stewart,DK,pop
6,The Night We Met,84,Lord Huron,DK,indie
7,"Say You Love Me (Live at Ziggo Dome, Amsterdam)",1,Simply Red,DK,NULL
8,Pink + White,82,Frank Ocean,DK,NULL
9,"Holding Back the Years (Live at Ziggo Dome, Amsterdam)",2,Simply Red,DK,NULL
10,"White Noise Sleeping Aid to Help My Baby Fall Asleep, Sleep Through the Night",72,White Noise Baby Sleep,DK,Sleep
11,Слэмятся пацаны,2,"Little Big, Ruki Vverh!",DK,NULL
12,See You Again (feat. Kali Uchis),86,"Tyler, The Creator, Kali Uchis",DK,NULL
13,"For Your Babies (Live at Ziggo Dome, Amsterdam)",1,Simply Red,DK,NULL
14,Alle Skuffer Over Tid - Single Edit,47,The Minds Of 99,DK,NULL
15,"Greenwood, Philip Selway, Edward O'Brien, Colin Greenwood: Pyramid Song (Arr. Lawson)",3,"Jonny Greenwood, Thom Yorke, Philip Selway, Edward O’Brien, Colin Greenwood, VOCES8, Thomas Gould, Matthew Sharp, Eleanor Turner",DK,NULL
16,Lush Life,77,Zara Larsson,DK,pop
17,"So Beautiful (Live at Ziggo Dome, Amsterdam)",1,Simply Red,DK,NULL
18,HUMBLE.,84,Kendrick Lamar,DK,rap
19,"Your Mirror (Live at Ziggo Dome, Amsterdam)",1,Simply Red,DK,NULL
20,7 Years,46,Lukas Graham,DK,Worst Song Ever
21,I'm Better (feat. Lamb),2,"Missy Elliott, Lamb",DK,NULL
22,White Ferrari,81,Frank Ocean,DK,singer-songwriter
23,"Someday in My Life (Live at Ziggo Dome, Amsterdam)",0,Simply Red,DK,NULL
24,Når Du Går Herfra (Nattely),46,Pil,DK,NULL
25,Disciplin (feat. Keya),0,"Elias Abbas, Keya",DK,NULL
26,Perfect,83,Ed Sheeran,DK,Ballad
