,nombre,popularity,artista,pais,genero
0,Sweater Weather,85,The Neighbourhood,AT,indie
1,Hazey - Live,0,Glass Animals,AT,NULL
2,Another Love,82,Tom Odell,AT,indie
3,"Cheri Cheri Lady (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",2,Modern Talking,AT,NULL
4,LoveHate Thing (feat. Sam Dew),76,"Wale, Sam Dew",AT,NULL
5,Smile,0,"Abel The Kid, Julio Iglesias Jr.",AT,NULL
6,Danza Kuduro,71,"Don Omar, Lucenzo",AT,NULL
7,Plastic Dreams 2003,2,JayDee,AT,NULL
8,Wake Me Up,82,Avicii,AT,electronic
9,Losing You,0,Revolver,AT,fip
10,Shut Up and Dance,80,WALK THE MOON,AT,indie pop
11,"Geronimo's Cadillac (Peters Pop-Show 06.12.1986) - Live from Peters Pop-Show, 1986",0,Modern Talking,AT,NULL
12,Give Me Everything (feat. Nayer),82,"Pitbull, AFROJACK, Ne-Yo, Nayer",AT,NULL
13,"You Can Win If You Want (Wetten, dass...? 18.05.1985) - Live from Wetten, dass...?, 1985",0,Modern Talking,AT,NULL
14,Can't Hold Us (feat. Ray Dalton),80,"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",AT,NULL
15,"Atlantis Is Calling (Na, sowas! 17.05.1986) - Live from Na, sowas!, 1986",0,Modern Talking,AT,NULL
16,Locked out of Heaven,85,Bruno Mars,AT,pop
17,Il fait chaud,0,Patrick Sébastien,AT,fiesta
18,Timber,80,"Pitbull, Kesha",AT,NULL
19,Bede Z Toba - Hangout Live,2,Lemon,AT,NULL
20,Einmal um die Welt,63,CRO,AT,german
21,Byłem (feat. As),0,"Pezet, As",AT,NULL
22,Counting Stars,82,OneRepublic,AT,pop rock
23,"Pani Da Rang (From ""Vicky Donor"") - Male Vocals",0,"Abhishek - Akshay, Ayushmann Khurrana",AT,NULL
24,A Sky Full of Stars,83,Coldplay,AT,pop
25,"Heaven Will Know (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",0,Modern Talking,AT,NULL
26,La La La,77,"Naughty Boy, Sam Smith",AT,NULL
