,nombre,popularity,artista,pais,genero
0,Жить в кайф,54,Max Korzh,BY,NULL
1,"Cheri Cheri Lady (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",2,Modern Talking,BY,NULL
2,Стань,51,Max Korzh,BY,NULL
3,"You Are Not Alone (Wetten, dass...? 20.02.1999) - Live from Wetten, dass...?, 1999",0,Modern Talking,BY,NULL
4,Батареи,54,Нервы,BY,romantic
5,"Pani Da Rang (From ""Vicky Donor"") - Male Vocals",0,"Abhishek - Akshay, Ayushmann Khurrana",BY,NULL
6,Эндорфин,51,Max Korzh,BY,NULL
7,"You Can Win If You Want (Wetten, dass...? 18.05.1985) - Live from Wetten, dass...?, 1985",0,Modern Talking,BY,NULL
8,Нервы,53,Нервы,BY,alternative
9,"Geronimo's Cadillac (Peters Pop-Show 06.12.1986) - Live from Peters Pop-Show, 1986",0,Modern Talking,BY,NULL
10,Обломки чувств,53,TERESHINA,BY,NULL
11,Fragile (Director's Cut),0,"Tech N9ne, Kendrick Lamar, ¡MAYDAY!, Kendall Morgan",BY,NULL
12,О Yeah,52,Yin-Yang,BY,NULL
13,The Real Slim Shady - Edited,0,Eminem,BY,NULL
14,Black Siemens,51,PHARAOH,BY,NULL
15,"Atlantis Is Calling (Na, sowas! 17.05.1986) - Live from Na, sowas!, 1986",0,Modern Talking,BY,NULL
16,Вселенная бесконечна?,51,Noize MC,BY,Hip-Hop
17,G.U.Y. - An ARTPOP Film,0,Lady Gaga,BY,gaga
18,Sweater Weather,85,The Neighbourhood,BY,indie
19,"Heaven Will Know (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",0,Modern Talking,BY,NULL
20,Мотылёк,49,Max Korzh,BY,NULL
21,Red Light (feat. Snoop Lion),0,"Eddie Murphy, Snoop Lion",BY,NULL
22,Где твоя любовь?,47,Max Korzh,BY,NULL
23,"Rum Whisky (From ""Vicky Donor"")",0,"Abhishek - Akshay, Akshay Verma",BY,NULL
24,Все мои друзья,52,Valentin Strykalo,BY,NULL
25,"Muskurane (Film Version) [From ""Citylights""]",0,"Jeet Gannguli, Arijit Singh",BY,NULL
26,Маленький,50,Дайте танк (!),BY,NULL
27,Eu Aposto - Ao Vivo,0,Eduardo Costa,BY,NULL
28,Lambada,50,N1NT3ND0,BY,NULL
29,Cups (Pitch Perfect’s “When I’m Gone”) - Director's Cut / Closed-Captioned,0,Anna Kendrick,BY,NULL
30,Кайен,52,Valentin Strykalo,BY,NULL
31,Kruhy,0,"Lipo, Yanna",BY,NULL
32,Парусник,52,KRBK,BY,NULL
33,"Verlieben, verloren, vergessen, verzeih'n (ZDF Hitparade 30.01.1992) - VOD",0,Wolfgang Petry,BY,NULL
34,Ты не такая,51,Valentin Strykalo,BY,NULL
35,Find Your Love - Extended Version,0,Drake,BY,NULL
36,Дешёвые драмы,50,Valentin Strykalo,BY,NULL
37,All By Myself (ZDF Tele-Illustrierte 17.01.1989) - VOD,0,Peter Hofmann,BY,NULL
38,Фанк,51,Valentin Strykalo,BY,NULL
39,Pai,0,Grupo Revelação,BY,samba
40,Бойсбэнд,46,"PHARAOH, Ca$$xttx",BY,NULL
41,Wrecking Ball - Director's Cut,0,Miley Cyrus,BY,NULL
42,Небо поможет нам,45,Max Korzh,BY,NULL
43,Smooth Criminal,0,Michael Jackson,BY,pop
44,Judas,76,Lady Gaga,BY,pop
45,Magia - Intro,0,Maluma,BY,NULL
46,Наше лето,49,Valentin Strykalo,BY,chill
47,Se Eu Não Te Amasse Tanto Assim,0,"Caetano Veloso, Gilberto Gil, Ivete Sangalo",BY,NULL
48,Голая,49,Gradusy,BY,NULL
49,Politik Kills,0,Manu Chao,BY,latin
50,Losha,44,Andrea,BG,NULL
51,Bede Z Toba,9,Lemon,BG,NULL
52,Ne me zasluzhavash,40,"Konstantin, Emanuela",BG,NULL
53,"Cheri Cheri Lady (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",2,Modern Talking,BG,NULL
54,Imame li vrazka,39,Alisia,BG,NULL
