id,nombre,popularity,artista,pais,genero
0,Breakin' Dishes,81,Rihanna,BY,rnb
1,Tu Vuoi Da Me Qualcosa - Live,1,Vasco Rossi,BY,NULL
2,Фонари,49,Gorod 312,BY,russian
3,Save Me,1,"Morandi, Helene",BY,NULL
4,Headlock,83,Imogen Heap,BY,electronic
5,Esqueça Que Eu Te Amo - Ao Vivo,0,Edson & Hudson,BY,NULL
6,Poker Face,79,Lady Gaga,BY,pop
7,Tá No Meu Coração - Ao Vivo,0,Edson & Hudson,BY,NULL
8,Just Dance,77,"Lady Gaga, Colby O'Donis",BY,NULL
9,Womanizer (Director's Cut),0,Britney Spears,BY,my dance room
10,Как на войне,51,Agatha Christie,BY,NULL
11,Disco Eterno - Gira Me Verás Volver,0,Soda Stereo,BY,NULL
12,Вне зоны доступа,48,Gorod 312,BY,russian
13,B.Y.O.B.,0,System Of A Down,BY,alternative metal
14,Такая любовь,45,Akula,BY,russian
15,Nossa História - Ao Vivo,0,Edson & Hudson,BY,NULL
16,Feel Good Inc.,82,Gorillaz,BY,alternative
17,Até O Sol Quis Ver,0,Exaltasamba,BY,Pagode
18,Vanished,65,Crystal Castles,BY,electronic
19,"Dança Do Bole, Bole - Live",0,Exaltasamba,BY,NULL
20,Gimme More,78,Britney Spears,BY,pop
21,Samba Menina / Ay Cosita Linda - Ao Vivo,0,Moinho,BY,NULL
22,Вахтерам,50,Boombox,BY,Hip-Hop
23,"É Para Ficar - Live from Ilha de Magia, Florianópolis, Brazil/2008",0,Exaltasamba,BY,NULL
24,Smack That,79,"Akon, Eminem",BY,NULL
25,Por La Herida De Un Amor,0,Gilberto Santa Rosa,BY,salsa
26,Кажется,46,UMA2RMAN,BY,pop
27,Yeah! - T4 Performance,0,USHER,BY,NULL
28,Animal I Have Become,68,Three Days Grace,BY,rock
29,My Name Is,0,Eminem,BY,rap
30,Monster,74,Skillet,BY,rock
31,"Ainda Ontem Chorei De Saudade - Live From Villa Country, São Paulo, Brazil/2007",0,Edson & Hudson,BY,NULL
32,The Way I Are,78,"Timbaland, Keri Hilson, D.O.E.",BY,NULL
33,Ass Like That - Super Clean Version,0,Eminem,BY,NULL
34,Знаешь ли ты,47,MakSim,BY,russian
35,Bons Momentos - Ao Vivo,0,Inimigos Da HP,BY,NULL
36,До скорой встречи!,46,Zveri,BY,russian
37,A Gente Vai - Ao Vivo,0,Edson & Hudson,BY,NULL
38,Supermassive Black Hole,75,Muse,BY,alternative rock
39,How We Do,0,The Game,BY,Hip-Hop
40,LoveGame,69,Lady Gaga,BY,dance
41,Assovia - Ao Vivo,0,Edson & Hudson,BY,NULL
42,My Game,46,Basta,BY,NULL
43,How Come/Git Up - (Edited Version),0,D12,BY,NULL
44,Город Сочи,45,Sergey Trofimov,BY,NULL
45,Meu Eu em Você (Video),0,Victor & Leo,BY,NULL
46,Fine,60,Lemon Demon,BY,Love it
47,Dead Homiez,0,Ice Cube,BY,hip hop
48,Выдыхай,44,Noize MC,BY,noize mc
49,Can I Have It Like That,0,"Pharrell, Gwen Stefani",BY,NULL
50,Breakin' Dishes,81,Rihanna,BG,rnb
51,Get Around Town,0,Revolver,BG,rock
52,Da Si Plashtal,39,Emanuela,BG,Get Down
53,Save Me,1,"Morandi, Helene",BG,NULL
54,Dai Mi Vsichko,40,Andrea,BG,cover
55,Nothing to Lose,0,Operator,BG,rock
56,Headlock,83,Imogen Heap,BG,electronic
57,Tu Vuoi Da Me Qualcosa - Live,1,Vasco Rossi,BG,NULL
58,Heartless,80,Kanye West,BG,Kanye West
59,Odio,1,Revolver,BG,spanish
60,505,81,Arctic Monkeys,BG,indie rock
61,Clapton: Tears in Heaven/video,1,The Choirboys,BG,NULL
62,Dyavolsko zhelanie,37,Preslava,BG,NULL
63,Historia universal (El amor no es lo que piensas),0,DELUXE,BG,indie
64,Poker Face,79,Lady Gaga,BG,pop
65,Coming Home,0,Sasha,BG,pop
66,Feel Good Inc.,82,Gorillaz,BG,alternative
67,Esqueça Que Eu Te Amo - Ao Vivo,0,Edson & Hudson,BG,NULL
68,Gimme More,78,Britney Spears,BG,pop
69,Colillas en el sueño,0,DELUXE,BG,NULL
70,Don't Stop The Music,78,Rihanna,BG,dance
71,Goodbye,0,Sasha,BG,pop
72,Smack That,79,"Akon, Eminem",BG,NULL
73,Stars of CCTV - Live at the Astoria,0,Hard-Fi,BG,NULL
74,The Way I Are,78,"Timbaland, Keri Hilson, D.O.E.",BG,NULL
75,Tendremos que esperar,0,DELUXE,BG,spanish pop
76,"Dve, Tri, Chetiri",36,Toni Storaro,BG,social degradation
77,Mi rendición,0,Revolver,BG,Rock en Espanol
78,Flashing Lights,80,"Kanye West, Dwele",BG,NULL
79,J'étais comme eux,0,Demon One,BG,NULL
80,Just Dance,77,"Lady Gaga, Colby O'Donis",BG,NULL
81,Si es tan solo amor,0,Revolver,BG,blues guitar
82,Promiscuous,80,"Nelly Furtado, Timbaland",BG,NULL
83,Tá No Meu Coração - Ao Vivo,0,Edson & Hudson,BG,NULL
84,SexyBack (feat. Timbaland),77,"Justin Timberlake, Timbaland",BG,NULL
85,Start Of Something New,0,"Troy, Vanessa Hudgens",BG,NULL
86,Can't Tell Me Nothing,77,Kanye West,BG,Hip-Hop
87,No va más,0,Revolver,BG,rich spanish pop
88,Just A Lil Bit,73,50 Cent,BG,50 Cent
89,Slowly,0,Sasha,BG,pop
90,Animal I Have Become,68,Three Days Grace,BG,rock
91,Soulcrusher,0,Operator,BG,Grunge
92,Maneater,78,Nelly Furtado,BG,pop
93,Womanizer (Director's Cut),0,Britney Spears,BG,my dance room
94,Bad Romance,79,Lady Gaga,BG,pop
95,Disco Eterno - Gira Me Verás Volver,0,Soda Stereo,BG,NULL
96,Monster,74,Skillet,BG,rock
97,B.Y.O.B.,0,System Of A Down,BG,alternative metal
98,Right Round,75,"Flo Rida, Kesha",BG,NULL
99,Nossa História - Ao Vivo,0,Edson & Hudson,BG,NULL
100,Viva La Vida,82,Coldplay,CZ,Coldplay
101,Get Around Town,0,Revolver,CZ,rock
102,Breakin' Dishes,81,Rihanna,CZ,rnb
103,Save Me,1,"Morandi, Helene",CZ,NULL
104,Malá dáma,50,Kabát,CZ,Eurovision
105,Clapton: Tears in Heaven/video,1,The Choirboys,CZ,NULL
106,Poker Face,79,Lady Gaga,CZ,pop
107,Soulcrusher,0,Operator,CZ,Grunge
108,Hot N Cold,72,Katy Perry,CZ,pop
109,Nothing to Lose,0,Operator,CZ,rock
110,Just Dance,77,"Lady Gaga, Colby O'Donis",CZ,NULL
111,Slowly,0,Sasha,CZ,pop
112,Don't Stop The Music,78,Rihanna,CZ,dance
113,Please Please Please,0,Sasha,CZ,pop
114,Feel Good Inc.,82,Gorillaz,CZ,alternative
115,Please Please Please,0,Sasha,CZ,pop
116,Burlaci,47,Kabát,CZ,rock
117,There She Goes,0,Sasha,CZ,pop
118,I Gotta Feeling,77,Black Eyed Peas,CZ,pop
119,Zizen - Live,0,Kabát,CZ,NULL
120,"You're Gonna Go Far, Kid",76,The Offspring,CZ,punk rock
121,Closer - Director's Cut,0,Nine Inch Nails,CZ,NULL
122,505,81,Arctic Monkeys,CZ,indie rock
123,Square One - Live from Austin City Limits,0,Coldplay,CZ,NULL
124,What I've Done,77,Linkin Park,CZ,rock
125,Tu Vuoi Da Me Qualcosa - Live,1,Vasco Rossi,CZ,NULL
126,Heartless,80,Kanye West,CZ,Kanye West
127,Odio,1,Revolver,CZ,spanish
128,Headlock,83,Imogen Heap,CZ,electronic
129,Historia universal (El amor no es lo que piensas),0,DELUXE,CZ,indie
130,Monster,74,Skillet,CZ,rock
131,Coming Home,0,Sasha,CZ,pop
132,Meet Me Halfway,74,Black Eyed Peas,CZ,black eyed peas
133,Esqueça Que Eu Te Amo - Ao Vivo,0,Edson & Hudson,CZ,NULL
134,This Is The Life,72,Amy Macdonald,CZ,female vocalists
135,Colillas en el sueño,0,DELUXE,CZ,NULL
136,Bad Romance,79,Lady Gaga,CZ,pop
137,Goodbye,0,Sasha,CZ,pop
138,Mám Jizvu Na Rtu,45,Jaromir Nohavica,CZ,singer-songwriter
139,Stars of CCTV - Live at the Astoria,0,Hard-Fi,CZ,NULL
140,Zamilovaný / Nešťastná,44,"Rybičky 48, Bára Zemanová",CZ,NULL
141,Tendremos que esperar,0,DELUXE,CZ,spanish pop
142,Hips Don't Lie (feat. Wyclef Jean),80,"Shakira, Wyclef Jean",CZ,NULL
143,Mi rendición,0,Revolver,CZ,Rock en Espanol
144,Na hotelu V Olomouci,44,"Petr Hapka, Szidi Tobias",CZ,NULL
145,J'étais comme eux,0,Demon One,CZ,NULL
146,We Are The People,76,Empire Of The Sun,CZ,electronic
147,Si es tan solo amor,0,Revolver,CZ,blues guitar
148,Flashing Lights,80,"Kanye West, Dwele",CZ,NULL
149,Tá No Meu Coração - Ao Vivo,0,Edson & Hudson,CZ,NULL
150,Breakin' Dishes,81,Rihanna,SK,rnb
151,Slowly,0,Sasha,SK,pop
152,Don't Stop The Music,78,Rihanna,SK,dance
153,Save Me,1,"Morandi, Helene",SK,NULL
154,Viva La Vida,82,Coldplay,SK,Coldplay
155,Goodbye,0,Sasha,SK,pop
156,Heartless,80,Kanye West,SK,Kanye West
157,Coming Home,0,Sasha,SK,pop
158,Poker Face,79,Lady Gaga,SK,pop
159,Please Please Please,0,Sasha,SK,pop
160,Just Dance,77,"Lady Gaga, Colby O'Donis",SK,NULL
161,J'étais comme eux,0,Demon One,SK,NULL
162,Feel Good Inc.,82,Gorillaz,SK,alternative
163,Stars of CCTV - Live at the Astoria,0,Hard-Fi,SK,NULL
164,The Way I Are,78,"Timbaland, Keri Hilson, D.O.E.",SK,NULL
165,My Name Is,0,Eminem,SK,rap
166,505,81,Arctic Monkeys,SK,indie rock
167,Tu Vuoi Da Me Qualcosa - Live,1,Vasco Rossi,SK,NULL
168,Smack That,79,"Akon, Eminem",SK,NULL
169,Odio,1,Revolver,SK,spanish
170,Headlock,83,Imogen Heap,SK,electronic
171,Clapton: Tears in Heaven/video,1,The Choirboys,SK,NULL
172,Malá dáma,50,Kabát,SK,Eurovision
173,Historia universal (El amor no es lo que piensas),0,DELUXE,SK,indie
174,Maneater,78,Nelly Furtado,SK,pop
175,Get Around Town,0,Revolver,SK,rock
176,Zlatokopky,44,Rytmus,SK,hip hop
177,Esqueça Que Eu Te Amo - Ao Vivo,0,Edson & Hudson,SK,NULL
