id,nombre,popularity,artista,pais,genero
0,Caminando por la vida,64,Melendi,ES,pop espanol
1,Odio,1,Revolver,ES,spanish
2,Por la boca vive el pez,62,Fito y Fitipaldis,ES,spanish
3,Historia universal (El amor no es lo que piensas),0,DELUXE,ES,indie
4,Un violinista en tu tejado,61,Melendi,ES,spanish
5,Colillas en el sueño,0,DELUXE,ES,NULL
6,Viva La Vida,82,Coldplay,ES,Coldplay
7,Tendremos que esperar,0,DELUXE,ES,spanish pop
8,Antes de que cuente diez,60,Fito y Fitipaldis,ES,spanish
9,Mi rendición,0,Revolver,ES,Rock en Espanol
10,No Puedo Vivir Sin Ti,60,Los Ronaldos,ES,spanish
11,Si es tan solo amor,0,Revolver,ES,blues guitar
12,Princesas,60,Pereza,ES,Pereza
13,No va más,0,Revolver,ES,rich spanish pop
14,Me equivocaría otra vez,59,Fito y Fitipaldis,ES,NULL
15,Y pasa el tiempo,0,Revolver,ES,NULL
16,"Marta, Sebas, Guille y los demás",59,Amaral,ES,spanish
17,Rain on Me,0,Beth,ES,pop
18,Con la luna llena,59,Melendi,ES,spanish
19,El roce de tu piel,0,Revolver,ES,Spanish Rock
20,Tenia Tanto Que Darte,58,Nena Daconte,ES,spanish
21,Tu Vuoi Da Me Qualcosa - Live,1,Vasco Rossi,ES,NULL
22,Zapatillas,58,El Canto Del Loco,ES,spanish
23,Clapton: Tears in Heaven/video,1,The Choirboys,ES,NULL
24,Mi Estrella Blanca,58,Fondo Flamenco,ES,Flamenco
25,Get Around Town,0,Revolver,ES,rock
26,En Que Estrella Estara,58,Nena Daconte,ES,eurocajon11
27,Caro diario,0,Javier Álvarez,ES,NULL
28,Paseo,57,Estopa,ES,paseo
29,All These Things,0,Beth,ES,guilty pleasure
30,Fix You,81,Coldplay,ES,Coldplay
31,J'étais comme eux,0,Demon One,ES,NULL
32,Kisiera yo saber,57,Melendi,ES,Flamenco
33,Stars of CCTV - Live at the Astoria,0,Hard-Fi,ES,NULL
34,Virtual Diva,70,Don Omar,ES,Reggaeton
35,Nothing to Lose,0,Operator,ES,rock
36,Sé lo que hicisteis - 2006 Remastered Version,57,Melendi,ES,NULL
37,"Sí, sí - Directo 07",0,Los Ronaldos,ES,NULL
38,Besos,56,El Canto Del Loco,ES,spanish
39,Save Me,1,"Morandi, Helene",ES,NULL
40,Hips Don't Lie (feat. Wyclef Jean),80,"Shakira, Wyclef Jean",ES,NULL
41,Con Tanto Héroe - Live,0,Melendi,ES,NULL
42,Con sólo una sonrisa,57,Melendi,ES,spanish
43,Goodbye,0,Sasha,ES,pop
44,Ella Y Yo - Featuring Don Omar,75,"Aventura, Don Omar",ES,NULL
45,Donde Estan las Llaves,0,CantaJuego,ES,NULL
46,Volvera,56,El Canto Del Loco,ES,spanish
47,Blue Man Group - Rock Concert Movement #10,0,Blue Man Group,ES,NULL
48,El Secreto de las Tortugas,55,Maldita Nerea,ES,pop
49,Smiley Faces - Live T4 Performance,0,Gnarls Barkley,ES,NULL
50,Viva La Vida,82,Coldplay,FR,Coldplay
51,Caught Up - Music Video,0,USHER,FR,NULL
52,Breakin' Dishes,81,Rihanna,FR,rnb
53,Can I Have It Like That,0,"Pharrell, Gwen Stefani",FR,NULL
54,I Gotta Feeling,77,Black Eyed Peas,FR,pop
55,How We Do,0,The Game,FR,Hip-Hop
56,Poker Face,79,Lady Gaga,FR,pop
57,Tu Vuoi Da Me Qualcosa - Live,1,Vasco Rossi,FR,NULL
58,La Boulette (Génération Nan Nan),59,Diam's,FR,french
59,Odio,1,Revolver,FR,spanish
60,Temperature,59,Sean Paul,FR,reggae
61,Save Me,1,"Morandi, Helene",FR,NULL
62,Feel Good Inc.,82,Gorillaz,FR,alternative
63,Clapton: Tears in Heaven/video,1,The Choirboys,FR,NULL
64,Right Round,75,"Flo Rida, Kesha",FR,NULL
65,Historia universal (El amor no es lo que piensas),0,DELUXE,FR,indie
66,Back To Black,77,Amy Winehouse,FR,soul
67,Get Around Town,0,Revolver,FR,rock
68,Il avait les mots,58,Sheryfa Luna,FR,french
69,Coming Home,0,Sasha,FR,pop
