id,nombre,popularity,artista,pais,genero
0,Сукины дети,52,1.Kla$,BY,NULL
1,Angel,28,"Shaggy, Rayvon",BY,NULL
2,Sonne,73,Rammstein,BY,industrial metal
3,Cabelo Raspadinho,2,Chiclete Com Banana,BY,brasil
4,Without Me,83,Eminem,BY,rap
5,Devolva-Me,1,Adriana Calcanhotto,BY,mpb
6,ИСКАЛА,51,Zemfira,BY,russian rock
7,Dar A Volta No Brasil - Ao Vivo,0,Chiclete Com Banana,BY,NULL
8,Superman,78,"Eminem, Dina Rae",BY,NULL
9,Csak Játék,0,Zorán,BY,Ballad
10,Numb,83,Linkin Park,BY,rock
11,Tarantula,0,Faithless,BY,electronic
12,Mockingbird,81,Eminem,BY,rap
13,Guilty Conscience - Director's Cut,0,"Eminem, Dr. Dre",BY,NULL
14,ХОЧЕШЬ?,50,Zemfira,BY,russian rock
15,Kaleidoscope World,0,FrancisM,BY,NULL
16,In the End,82,Linkin Park,BY,rock
17,Esperanzas,0,Pecos,BY,Baladas
18,Faint,79,Linkin Park,BY,rock
19,Spaceship,0,Katja,BY,NULL
20,Районы-кварталы,49,Zveri,BY,russian rock
21,Maçã - Ao Vivo,0,Djavan,BY,NULL
22,Bring Me To Life,80,Evanescence,BY,rock
23,'03 Bonnie & Clyde,0,"JAY-Z, Beyoncé Knowles",BY,NULL
24,Toxicity,80,System Of A Down,BY,metal
25,Who Gives A F**K Where You From,0,"DJ Kay Slay, Frayser Boy, Lil Wyte, Three 6 Mafia",BY,NULL
26,The Real Slim Shady,81,Eminem,BY,rap
27,St. Anger,0,Metallica,BY,metal
28,I Hate Everything About You,75,Three Days Grace,BY,rock
29,Jenny from the Block,0,Jennifer Lopez,BY,pop
30,Проклятый старый дом,45,Korol i Shut,BY,punk rock
31,Un Condenado Te Amo,0,Paolo Meneguzzi,BY,Favoritos
32,Rollin' (Air Raid Vehicle),75,Limp Bizkit,BY,Nu Metal
33,The Way I Am,0,Eminem,BY,rap
34,П.М.М.Л.,49,Zemfira,BY,rock
35,"Rama Hare - From ""Soothradharan""",0,"Raveendran, Edappal Viswan, Gayathri Ashokan",BY,NULL
36,Chop Suey!,79,System Of A Down,BY,alternative metal
37,Oceano - Ao Vivo,0,Djavan,BY,NULL
38,Наши юные смешные голоса,47,Ногу Свело!,BY,russian
39,Tvou Vuni Stale Znam,0,Frantisek Nedved,BY,NULL
40,Полковнику никто не пишет,48,Bi-2,BY,russian rock
41,Somos Poucos Mas Somos Loucos,0,Charlie Brown Jr.,BY,rock
42,Будь моим смыслом,46,Flëur,BY,female
43,New Bibi-Hendl - Rap,0,Takeo Ischi,BY,NULL
44,One Step Closer,78,Linkin Park,BY,Nu Metal
45,Zaluje,0,Ewelina Flinta,BY,rock
46,Половинка,44,Tantsy Minus,BY,NULL
47,Możliwe,0,Anna Maria Jopek,BY,polish
48,Вечно молодой,47,Smyslovye Gallyutsinatsii,BY,NULL
49,Thoughtless,0,Korn,BY,Nu Metal
50,Numb,83,Linkin Park,BG,rock
51,Angel,28,"Shaggy, Rayvon",BG,NULL
52,Sonne,73,Rammstein,BG,industrial metal
53,La vita è,1,Nek,BG,pop
54,Without Me,83,Eminem,BG,rap
55,He Loves U Not,0,Dream,BG,pop
56,In the End,82,Linkin Park,BG,rock
57,This Is Me,0,Dream,BG,pop
58,Bring Me To Life,80,Evanescence,BG,rock
59,Cabelo Raspadinho,2,Chiclete Com Banana,BG,brasil
60,The Real Slim Shady,81,Eminem,BG,rap
61,Devolva-Me,1,Adriana Calcanhotto,BG,mpb
62,Faint,79,Linkin Park,BG,rock
63,This Is My Time,0,Sasha,BG,pop
64,Yeah! (feat. Lil Jon & Ludacris),80,"USHER, Lil Jon, Ludacris",BG,NULL
65,Rooftop,0,Sasha,BG,pop
66,One Step Closer,78,Linkin Park,BG,Nu Metal
67,Stuck in the Middle with You,0,Louise,BG,pop
68,In Da Club,77,50 Cent,BG,rap
69,Dímelo bajito,0,Manzanita,BG,NULL
70,Mockingbird,81,Eminem,BG,rap
71,Dar A Volta No Brasil - Ao Vivo,0,Chiclete Com Banana,BG,NULL
72,Toxicity,80,System Of A Down,BG,metal
73,2 Faced,0,Louise,BG,pop
74,Till I Collapse,79,"Eminem, Nate Dogg",BG,NULL
75,Kiedy góral umiera,0,Harlem,BG,polish
76,Superman,78,"Eminem, Dina Rae",BG,NULL
77,San Pedro,0,"Revolver, Mick Glossp",BG,NULL
78,Crazy In Love (feat. JAY-Z),76,"Beyoncé, JAY-Z",BG,NULL
79,El peligro,0,Revolver,BG,metal
80,Chop Suey!,79,System Of A Down,BG,alternative metal
81,Here She Comes Again,0,Sasha,BG,pop
82,Rollin' (Air Raid Vehicle),75,Limp Bizkit,BG,Nu Metal
83,Turn It into Something Special,0,Sasha,BG,pop
84,Can't Stop,80,Red Hot Chili Peppers,BG,rock
85,Beautiful Inside,0,Louise,BG,pop
86,Shampansko I salzi,34,Ivana,BG,NULL
87,American Life (Director's Cut) - 4K Remaster,0,Madonna,BG,NULL
88,Toxic,78,Britney Spears,BG,pop
89,Wierz? w siebie,0,Harlem,BG,NULL
90,Aerials,77,System Of A Down,BG,metal
91,Eso de saber,0,Revolver,BG,LO MAS
92,How You Remind Me,80,Nickelback,BG,rock
93,Take Me Home,0,"Terror Squad, remy, Fat Joe, Dre, Armageddon",BG,NULL
94,Lose Yourself,76,Eminem,BG,rap
95,Love Is Alive - Live; 2004 Remaster,0,Joe Cocker,BG,NULL
96,Gasolina,76,Daddy Yankee,BG,Reggaeton
97,Ni na no,0,Javier Álvarez,BG,NULL
98,P.I.M.P.,73,50 Cent,BG,rap
99,Call Me,0,Blondie,BG,80s
100,Numb,83,Linkin Park,CZ,rock
101,Angel,28,"Shaggy, Rayvon",CZ,NULL
102,In the End,82,Linkin Park,CZ,rock
103,La vita è,1,Nek,CZ,pop
104,Without Me,83,Eminem,CZ,rap
105,Rooftop,0,Sasha,CZ,pop
106,Mockingbird,81,Eminem,CZ,rap
107,2 Faced,0,Louise,CZ,pop
108,Yellow,86,Coldplay,CZ,rock
109,Beautiful Inside,0,Louise,CZ,pop
110,Faint,79,Linkin Park,CZ,rock
111,He Loves U Not,0,Dream,CZ,pop
112,Unwritten,81,Natasha Bedingfield,CZ,pop
113,Stuck in the Middle with You,0,Louise,CZ,pop
114,Plakala,47,DIVOKEJ BILL,CZ,folk rock
115,Here She Comes Again,0,Sasha,CZ,pop
116,Bára,47,Kabát,CZ,rock
117,Cabelo Raspadinho,2,Chiclete Com Banana,CZ,brasil
118,How You Remind Me,80,Nickelback,CZ,rock
119,Devolva-Me,1,Adriana Calcanhotto,CZ,mpb
120,One Step Closer,78,Linkin Park,CZ,Nu Metal
121,This Is My Time,0,Sasha,CZ,pop
122,The Real Slim Shady,81,Eminem,CZ,rap
123,Dímelo bajito,0,Manzanita,CZ,NULL
124,Dole v dole,47,Kabát,CZ,Czech
125,Dar A Volta No Brasil - Ao Vivo,0,Chiclete Com Banana,CZ,NULL
126,Can't Stop,80,Red Hot Chili Peppers,CZ,rock
127,Kiedy góral umiera,0,Harlem,CZ,polish
128,V pekle sudy válej,46,Kabát,CZ,Czech
129,San Pedro,0,"Revolver, Mick Glossp",CZ,NULL
130,Sonne,73,Rammstein,CZ,industrial metal
131,El peligro,0,Revolver,CZ,metal
132,The Scientist,83,Coldplay,CZ,Coldplay
133,This Is Me,0,Dream,CZ,pop
134,Toxicity,80,System Of A Down,CZ,metal
135,Turn It into Something Special,0,Sasha,CZ,pop
136,Nikdy Nic Nebylo,45,Sto zvířat,CZ,ska
137,American Life (Director's Cut) - 4K Remaster,0,Madonna,CZ,NULL
138,Malovaní,45,DIVOKEJ BILL,CZ,NULL
139,Wierz? w siebie,0,Harlem,CZ,NULL
140,Mr. Brightside,82,The Killers,CZ,rock
141,Eso de saber,0,Revolver,CZ,LO MAS
142,Till I Collapse,79,"Eminem, Nate Dogg",CZ,NULL
143,Take Me Home,0,"Terror Squad, remy, Fat Joe, Dre, Armageddon",CZ,NULL
144,Bring Me To Life,80,Evanescence,CZ,rock
145,Love Is Alive - Live; 2004 Remaster,0,Joe Cocker,CZ,NULL
146,Sraž Nás Na Kolena,44,ŠKWOR,CZ,Czech
147,Ni na no,0,Javier Álvarez,CZ,NULL
148,Stará Lou,45,Kabát,CZ,2003
149,Call Me,0,Blondie,CZ,80s
150,Numb,83,Linkin Park,SK,rock
151,Angel,28,"Shaggy, Rayvon",SK,NULL
152,In the End,82,Linkin Park,SK,rock
153,Turn It into Something Special,0,Sasha,SK,pop
154,Unwritten,81,Natasha Bedingfield,SK,pop
155,Here She Comes Again,0,Sasha,SK,pop
156,Without Me,83,Eminem,SK,rap
157,This Is My Time,0,Sasha,SK,pop
158,Mockingbird,81,Eminem,SK,rap
159,Rooftop,0,Sasha,SK,pop
160,Yellow,86,Coldplay,SK,rock
161,2 Faced,0,Louise,SK,pop
162,Faint,79,Linkin Park,SK,rock
163,Stuck in the Middle with You,0,Louise,SK,pop
164,The Real Slim Shady,81,Eminem,SK,rap
165,Cabelo Raspadinho,2,Chiclete Com Banana,SK,brasil
166,Sonne,73,Rammstein,SK,industrial metal
167,Devolva-Me,1,Adriana Calcanhotto,SK,mpb
168,How You Remind Me,80,Nickelback,SK,rock
169,La vita è,1,Nek,SK,pop
170,One Step Closer,78,Linkin Park,SK,Nu Metal
171,He Loves U Not,0,Dream,SK,pop
172,Toxicity,80,System Of A Down,SK,metal
173,Dímelo bajito,0,Manzanita,SK,NULL
174,Till I Collapse,79,"Eminem, Nate Dogg",SK,NULL
175,Dar A Volta No Brasil - Ao Vivo,0,Chiclete Com Banana,SK,NULL
176,Yeah! (feat. Lil Jon & Ludacris),80,"USHER, Lil Jon, Ludacris",SK,NULL
177,Kiedy góral umiera,0,Harlem,SK,polish
178,Can't Stop,80,Red Hot Chili Peppers,SK,rock
179,San Pedro,0,"Revolver, Mick Glossp",SK,NULL
180,Vlak,41,Horkýže Slíže,SK,punk rock
181,El peligro,0,Revolver,SK,metal
182,Ludia nie su zli,39,I.M.T. Smile,SK,stoka
183,This Is Me,0,Dream,SK,pop
184,The Scientist,83,Coldplay,SK,Coldplay
185,Beautiful Inside,0,Louise,SK,pop
186,Lose Yourself,76,Eminem,SK,rap
187,American Life (Director's Cut) - 4K Remaster,0,Madonna,SK,NULL
188,Bring Me To Life,80,Evanescence,SK,rock
189,Wierz? w siebie,0,Harlem,SK,NULL
190,Chop Suey!,79,System Of A Down,SK,alternative metal
191,Eso de saber,0,Revolver,SK,LO MAS
