id,nombre,popularity,artista,pais,genero
0,Unwritten,81,Natasha Bedingfield,DK,pop
1,Angel,28,"Shaggy, Rayvon",DK,NULL
2,En Dag Tilbage,47,Nik & Jay,DK,NULL
3,He Loves U Not,0,Dream,DK,pop
4,Yellow,86,Coldplay,DK,rock
5,Rooftop,0,Sasha,DK,pop
6,Hot!,47,Nik & Jay,DK,NULL
7,This Is My Time,0,Sasha,DK,pop
8,Mockingbird,81,Eminem,DK,rap
9,Turn It into Something Special,0,Sasha,DK,pop
10,Drømmer Jeg,45,"Johnny Deluxe, Anna Nordell",DK,NULL
11,Stuck in the Middle with You,0,Louise,DK,pop
12,Without Me,83,Eminem,DK,rap
13,La vita è,1,Nek,DK,pop
14,The Scientist,83,Coldplay,DK,Coldplay
15,This Is Me,0,Dream,DK,pop
16,All Falls Down,77,"Kanye West, Syleena Johnson",DK,NULL
17,"Handel: The Arrival of the Queen of Sheba (Sinfonia from the oratorio ""Solomon"" HWV 67)",0,"George Frideric Handel, Hanoverian Court Orchestra, Jurgen Budday",DK,NULL
18,Numb,83,Linkin Park,DK,rock
19,Take Me Home,0,"Terror Squad, remy, Fat Joe, Dre, Armageddon",DK,NULL
20,Kinky Fætter,44,Suspekt,DK,dansk
21,Cabelo Raspadinho,2,Chiclete Com Banana,DK,brasil
22,In the End,82,Linkin Park,DK,rock
23,Devolva-Me,1,Adriana Calcanhotto,DK,mpb
24,How You Remind Me,80,Nickelback,DK,rock
25,Dímelo bajito,0,Manzanita,DK,NULL
26,The Real Slim Shady,81,Eminem,DK,rap
27,Dar A Volta No Brasil - Ao Vivo,0,Chiclete Com Banana,DK,NULL
28,Yeah! (feat. Lil Jon & Ludacris),80,"USHER, Lil Jon, Ludacris",DK,NULL
29,2 Faced,0,Louise,DK,pop
30,Till I Collapse,79,"Eminem, Nate Dogg",DK,NULL
31,Kiedy góral umiera,0,Harlem,DK,polish
32,Lækker,43,Nik & Jay,DK,NULL
33,San Pedro,0,"Revolver, Mick Glossp",DK,NULL
34,Lose Yourself,76,Eminem,DK,rap
35,El peligro,0,Revolver,DK,metal
36,Sparks,82,Coldplay,DK,rock
37,Here She Comes Again,0,Sasha,DK,pop
38,In Da Club,77,50 Cent,DK,rap
39,American Life (Director's Cut) - 4K Remaster,0,Madonna,DK,NULL
40,Murder On The Dancefloor,76,Sophie Ellis-Bextor,DK,pop
41,Beautiful Inside,0,Louise,DK,pop
42,Ms. Jackson,78,Outkast,DK,Hip-Hop
43,Wierz? w siebie,0,Harlem,DK,NULL
44,Somewhere Only We Know,80,Keane,DK,britpop
45,Eso de saber,0,Revolver,DK,LO MAS
46,Mr. Brightside,82,The Killers,DK,rock
47,Love Is Alive - Live; 2004 Remaster,0,Joe Cocker,DK,NULL
48,Clocks,79,Coldplay,DK,rock
49,Ni na no,0,Javier Álvarez,DK,NULL
50,Sonne,73,Rammstein,EE,industrial metal
51,Angel,28,"Shaggy, Rayvon",EE,NULL
52,Numb,83,Linkin Park,EE,rock
53,He Loves U Not,0,Dream,EE,pop
54,Without Me,83,Eminem,EE,rap
55,Rooftop,0,Sasha,EE,pop
56,Kuutõbine,32,Terminaator,EE,NULL
57,Cabelo Raspadinho,2,Chiclete Com Banana,EE,brasil
58,In the End,82,Linkin Park,EE,rock
59,Devolva-Me,1,Adriana Calcanhotto,EE,mpb
60,Yellow,86,Coldplay,EE,rock
61,La vita è,1,Nek,EE,pop
62,Võõras Lõhn,31,Genialistid,EE,NULL
63,This Is My Time,0,Sasha,EE,pop
64,Mockingbird,81,Eminem,EE,rap
65,Stuck in the Middle with You,0,Louise,EE,pop
66,Unwritten,81,Natasha Bedingfield,EE,pop
67,Dímelo bajito,0,Manzanita,EE,NULL
68,Faint,79,Linkin Park,EE,rock
69,Dar A Volta No Brasil - Ao Vivo,0,Chiclete Com Banana,EE,NULL
70,The Real Slim Shady,81,Eminem,EE,rap
71,2 Faced,0,Louise,EE,pop
72,Leekiv Armastus,30,Genialistid,EE,Eesti
73,Kiedy góral umiera,0,Harlem,EE,polish
74,Carmen,30,Terminaator,EE,NULL
75,San Pedro,0,"Revolver, Mick Glossp",EE,NULL
76,See Ei Ole Saladus,30,Terminaator,EE,Eesti
77,El peligro,0,Revolver,EE,metal
78,Mr. Brightside,82,The Killers,EE,rock
79,This Is Me,0,Dream,EE,pop
80,Bring Me To Life,80,Evanescence,EE,rock
81,Here She Comes Again,0,Sasha,EE,pop
82,Toxicity,80,System Of A Down,EE,metal
83,Turn It into Something Special,0,Sasha,EE,pop
84,Can't Get You out of My Head,74,Kylie Minogue,EE,pop
85,American Life (Director's Cut) - 4K Remaster,0,Madonna,EE,NULL
86,How You Remind Me,80,Nickelback,EE,rock
87,Beautiful Inside,0,Louise,EE,pop
88,Duvet,79,bôa,EE,anime
89,Wierz? w siebie,0,Harlem,EE,NULL
90,L'Amour Toujours,71,Gigi D'Agostino,EE,dance
91,Eso de saber,0,Revolver,EE,LO MAS
92,Can't Stop,80,Red Hot Chili Peppers,EE,rock
93,Take Me Home,0,"Terror Squad, remy, Fat Joe, Dre, Armageddon",EE,NULL
94,One Step Closer,78,Linkin Park,EE,Nu Metal
95,Love Is Alive - Live; 2004 Remaster,0,Joe Cocker,EE,NULL
96,The Scientist,83,Coldplay,EE,Coldplay
97,Ni na no,0,Javier Álvarez,EE,NULL
98,Lady - Hear Me Tonight,75,Modjo,EE,House
99,Call Me,0,Blondie,EE,80s
100,Matkustaja,46,Egotrippi,FI,finnish
101,Angel,28,"Shaggy, Rayvon",FI,NULL
102,Sonne,73,Rammstein,FI,industrial metal
103,He Loves U Not,0,Dream,FI,pop
104,Numb,83,Linkin Park,FI,rock
105,This Is Me,0,Dream,FI,pop
106,In the End,82,Linkin Park,FI,rock
107,Stuck in the Middle with You,0,Louise,FI,pop
108,Mockingbird,81,Eminem,FI,rap
109,This Is My Time,0,Sasha,FI,pop
110,Without Me,83,Eminem,FI,rap
111,Dímelo bajito,0,Manzanita,FI,NULL
112,Rakkaus On Lumivalkoinen,44,Yö,FI,suomirock
113,Cabelo Raspadinho,2,Chiclete Com Banana,FI,brasil
114,Yellow,86,Coldplay,FI,rock
115,2 Faced,0,Louise,FI,pop
116,Aamun Kuiskaus,43,Stella,FI,finnish
117,Rooftop,0,Sasha,FI,pop
118,Bring Me To Life,80,Evanescence,FI,rock
119,Devolva-Me,1,Adriana Calcanhotto,FI,mpb
120,Faint,79,Linkin Park,FI,rock
121,La vita è,1,Nek,FI,pop
122,The Real Slim Shady,81,Eminem,FI,rap
123,Dar A Volta No Brasil - Ao Vivo,0,Chiclete Com Banana,FI,NULL
124,Till I Collapse,79,"Eminem, Nate Dogg",FI,NULL
125,Kiedy góral umiera,0,Harlem,FI,polish
126,The Scientist,83,Coldplay,FI,Coldplay
127,San Pedro,0,"Revolver, Mick Glossp",FI,NULL
128,One Step Closer,78,Linkin Park,FI,Nu Metal
129,El peligro,0,Revolver,FI,metal
130,Lose Yourself,76,Eminem,FI,rap
131,Here She Comes Again,0,Sasha,FI,pop
132,Nemo,60,Nightwish,FI,symphonic metal
133,Turn It into Something Special,0,Sasha,FI,pop
134,Somewhere Only We Know,80,Keane,FI,britpop
135,American Life (Director's Cut) - 4K Remaster,0,Madonna,FI,NULL
136,Maailma On Sun,41,Tehosekoitin,FI,rock
137,Beautiful Inside,0,Louise,FI,pop
138,Toxicity,80,System Of A Down,FI,metal
139,Wierz? w siebie,0,Harlem,FI,NULL
140,Elämä on peli,41,Skandaali,FI,skandaali
141,Eso de saber,0,Revolver,FI,LO MAS
142,Mr. Brightside,82,The Killers,FI,rock
143,Take Me Home,0,"Terror Squad, remy, Fat Joe, Dre, Armageddon",FI,NULL
144,Duality,76,Slipknot,FI,metal
145,Love Is Alive - Live; 2004 Remaster,0,Joe Cocker,FI,NULL
146,Wish I Had an Angel,58,Nightwish,FI,symphonic metal
147,Ni na no,0,Javier Álvarez,FI,NULL
148,Joutsenet,40,PMMP,FI,finnish
149,Call Me,0,Blondie,FI,80s
150,Yellow,86,Coldplay,IS,rock
151,Angel,28,"Shaggy, Rayvon",IS,NULL
152,Unwritten,81,Natasha Bedingfield,IS,pop
153,Kiedy góral umiera,0,Harlem,IS,polish
154,The Scientist,83,Coldplay,IS,Coldplay
155,Cabelo Raspadinho,2,Chiclete Com Banana,IS,brasil
156,Sparks,82,Coldplay,IS,rock
157,Devolva-Me,1,Adriana Calcanhotto,IS,mpb
158,Við Gróttu,29,Bubbi Morthens,IS,NULL
159,La vita è,1,Nek,IS,pop
160,All Falls Down,77,"Kanye West, Syleena Johnson",IS,NULL
161,This Is My Time,0,Sasha,IS,pop
162,Sonne,73,Rammstein,IS,industrial metal
163,He Loves U Not,0,Dream,IS,pop
164,Without Me,83,Eminem,IS,rap
165,Rooftop,0,Sasha,IS,pop
166,Mr. Brightside,82,The Killers,IS,rock
167,Stuck in the Middle with You,0,Louise,IS,pop
168,Somewhere Only We Know,80,Keane,IS,britpop
169,Dímelo bajito,0,Manzanita,IS,NULL
170,Bent nálgast,28,XXX Rottweiler hundar,IS,icelandic
171,Dar A Volta No Brasil - Ao Vivo,0,Chiclete Com Banana,IS,NULL
172,Þér er ekki boðið,28,XXX Rottweiler hundar,IS,NULL
173,2 Faced,0,Louise,IS,pop
174,Toxicity,80,System Of A Down,IS,metal
175,San Pedro,0,"Revolver, Mick Glossp",IS,NULL
