id,nombre,popularity,artista,pais,genero
0,Mi Refe,84,"Beéle, Ovy On The Drums",ES,NULL
1,That’s So True - Live From Radio City Music Hall,20,Gracie Abrams,ES,NULL
2,GRAN VÍA,74,"Quevedo, Aitana",ES,NULL
3,Hurt,12,OneRepublic,ES,NULL
4,capaz (merengueton),80,"Alleh, Yorghaki",ES,NULL
5,Risk - Live From The Tonight Show With Jimmy Fallon,8,Gracie Abrams,ES,NULL
6,capaz (merengueton),81,"Alleh, Yorghaki",ES,NULL
7,Cono Hielo,1,"CA7RIEL & Paco Amoroso, CA7RIEL, Paco Amoroso",ES,NULL
8,Si Antes Te Hubiera Conocido,87,KAROL G,ES,latin
9,"J.S. Bach: Violin Partita No. 2 in D Minor, BWV 1004 - I. Allemanda",3,"Johann Sebastian Bach, Carolin Widmann",ES,NULL
10,el ingeniero,77,"Alleh, Yorghaki",ES,NULL
11,DUMBAI,1,"CA7RIEL & Paco Amoroso, CA7RIEL, Paco Amoroso",ES,NULL
12,Yo sé,76,"Yan Block, TORRRES",ES,NULL
13,Circles,7,SAINt JHN,ES,NULL
14,Qué Pasaría...,86,"Rauw Alejandro, Bad Bunny",ES,NULL
15,"Rachmaninov: Rhapsody on a Theme of Paganini, Op. 43: Variation 18 (Andante cantabile)",3,"Sergei Rachmaninoff, Martin James Bartlett, Joshua Weilerstein, London Philharmonic Orchestra",ES,NULL
16,una noche,75,"Alleh, Yorghaki",ES,NULL
17,Family Feud - Live at The Ford,2,FINNEAS,ES,NULL
18,Imagínate,83,"Danny Ocean, Kapo",ES,NULL
19,Ciao,0,"Rouss, Walls",ES,NULL
20,Se Pone Las Nike,70,Cano,ES,NULL
21,TV - Live From Singapore’s Cloud Forest,3,Billie Eilish,ES,NULL
22,IA,74,"Clarent, Mora",ES,NULL
23,BABY GANGSTA,1,"CA7RIEL & Paco Amoroso, CA7RIEL, Paco Amoroso",ES,NULL
24,Q U E V A S H A C E R H O Y ?,81,"Omar Courtz, De La Rose",ES,NULL
25,All We Got (feat. KIDDO),14,"Robin Schulz, KIDDO",ES,NULL
26,DEGENERE 👑 (feat. benny blanco),80,"Myke Towers, benny blanco",ES,NULL
27,Adiquerala - Bulería,0,"Kiki Morente, Carlos De La Jacoba",ES,NULL
28,Te Regalo,74,"Rels B, J Abecia",ES,NULL
29,Passenger Princess,6,"Aminé, Smino",ES,NULL
30,SE FUE,70,"Moncho Chavea, Morad",ES,NULL
31,MR. MOONDIAL,70,"Quevedo, Pitbull",ES,NULL
32,Aimer à moitié,2,Calema,ES,NULL
33,STAR,68,JC Reyes,ES,NULL
34,Rodeo (Remix),9,"Lah Pat, Flo Milli",ES,NULL
35,Die With A Smile,96,"Lady Gaga, Bruno Mars",ES,NULL
36,La Carta Que Nunca Te Escribí - Remix,0,"Lu Decker, Dudi",ES,NULL
37,"Luck Ra: Bzrp Music Sessions, Vol. 61",76,"Bizarrap, Luck Ra",ES,NULL
38,Pasatiempo,4,"La China, ECKO",ES,NULL
39,Duro De Verdad pt.2,68,"Los Sufridos, Bad Gyal",ES,NULL
40,Tuck Your Chain,0,"Money Man, Danny Towers",ES,NULL
41,Luna llena,68,Beny Jr,ES,NULL
42,Tussi Code Mari,5,"Marcianeke, Crismj",ES,NULL
43,LUNA,84,"Feid, ATL Jacob",ES,NULL
44,Party Jumpin’,2,"Jamie Brown, Marshmello",ES,NULL
45,Hm Hm Hm - Remix,68,"Rvfv, Youka, Wesh Music",ES,NULL
46,TRES - Cortometraje,1,Bratty,ES,NULL
47,Ohnana,77,Kapo,ES,summer
48,Don't Play by the Rules,3,"D.T.E, PREZIOSO",ES,NULL
49,NANANI NANANA,74,Gazo,FR,NULL
50,Happier Than Ever - Live From Disney’s Happier Than Ever/A Love Letter to Los Angeles,3,Billie Eilish,FR,NULL
51,CIEL,72,GIMS,FR,NULL
52,TV - Live From Singapore’s Cloud Forest,3,Billie Eilish,FR,NULL
53,Die With A Smile,96,"Lady Gaga, Bruno Mars",FR,NULL
54,"J.S. Bach: Violin Partita No. 2 in D Minor, BWV 1004 - I. Allemanda",3,"Johann Sebastian Bach, Carolin Widmann",FR,NULL
55,4 Kampé,73,Joé Dwèt Filé,FR,NULL
56,Silverlines Orchestral Version,0,Damiano David,FR,NULL
57,CARTIER SANTOS,71,SDM,FR,NULL
58,Love Of Mine,0,Imagine Dragons,FR,NULL
59,CIEL,71,GIMS,FR,NULL
60,Don't Play by the Rules,3,"D.T.E, PREZIOSO",FR,NULL
61,Minimum ça,71,Dr. Yaro,FR,NULL
