id,nombre,popularity,artista,pais,genero
0,Who,86,Jimin,BY,homosexual
1,Seu Astral / Mistérios,11,Fiorella,BY,NULL
2,Who,82,Jimin,BY,homosexual
3,Tussi Code Mari,5,"Marcianeke, Crismj",BY,NULL
4,ParisLove,62,FORTUNA 812,BY,NULL
5,Das riecht gut / Ça Sent Bon,4,"Team Karacho, Roger Rekless",BY,NULL
6,Who,82,Jimin,BY,homosexual
7,Happier Than Ever - Live From Disney’s Happier Than Ever/A Love Letter to Los Angeles,3,Billie Eilish,BY,NULL
8,Who,82,Jimin,BY,homosexual
9,Party Jumpin’,2,"Jamie Brown, Marshmello",BY,NULL
10,Winter Ahead (with PARK HYO SHIN),81,"V, Park Hyo Shin",BY,NULL
11,Cono Hielo,1,"CA7RIEL & Paco Amoroso, CA7RIEL, Paco Amoroso",BY,NULL
12,гладиатор/рыцарь,60,fallen777angel,BY,archivecore
13,Casino,58,Icegergert,BY,NULL
14,DUMBAI,1,"CA7RIEL & Paco Amoroso, CA7RIEL, Paco Amoroso",BY,NULL
15,Winter Ahead (with PARK HYO SHIN),79,"V, Park Hyo Shin",BY,NULL
16,Pode Ir Embora / Vagalumes / Trânsito Parado,1,Fiorella,BY,NULL
17,Winter Ahead (with PARK HYO SHIN),78,"V, Park Hyo Shin",BY,NULL
18,Na Nossa Sala / Amor e Amor - Ao Vivo,1,"Rodriguinho, Gaab, Mr. Dan",BY,NULL
19,Who (Rock Remix),68,Jimin,BY,innacore
20,Vamos Fugir / Aqui É O Seu Lugar,1,Fiorella,BY,NULL
21,мило материшься,59,volhey,BY,NULL
22,FAKE - BRITs 2022 Rising Star Live Session,1,Lola Young,BY,NULL
23,Гектор,58,Icegergert,BY,NULL
24,Leilão / Palpite / O Amor Não Deixa,1,Fiorella,BY,NULL
25,Lost Angeles,59,FRIENDLY THUG 52 NGG,BY,NULL
26,Postcards - Acoustic Version,1,Mackenzy Mackay,BY,NULL
27,Turbo (Majestic),57,Big Baby Tape,BY,NULL
28,BABY GANGSTA,1,"CA7RIEL & Paco Amoroso, CA7RIEL, Paco Amoroso",BY,NULL
29,Контракт,58,Poshlaya Molly,BY,electronic
30,LEDI,1,"Robot95, DJ Maff",BY,NULL
31,Последняя Любовь,58,MORGENSHTERN,BY,NULL
32,Por Ti / Sou Fã,1,Fiorella,BY,NULL
33,ALASKA PUFFER,57,паранойя,BY,NULL
34,Outro Estado,1,"Fiorella, Hugo Henrique",BY,NULL
35,Be Mine,71,Jimin,BY,gay
36,Jogado Na Rua / Velha Infância / Seu Polícia,1,Fiorella,BY,NULL
37,Amsterdam,57,Icegergert,BY,NULL
38,Me Apego / Prisão Sem Grade / Lendas e Mistérios,1,Fiorella,BY,NULL
39,Страшный сон 2,56,Раковая Выхухоль,BY,NULL
40,FRI(END)S,76,V,BY,v
41,Schifoan,1,"Felix Harrer, Leopold Franz",BY,NULL
42,Be Mine,64,Jimin,BY,gay
43,Ghosts / Slowing Down,0,Scarlet House,BY,NULL
