id,nombre,popularity,artista,pais,genero
0,Soldadito marinero,62,Fito y Fitipaldis,ES,spanish
1,Angel,28,"Shaggy, Rayvon",ES,NULL
2,Rosas,75,La Oreja de Van Gogh,ES,pop
3,Dímelo bajito,0,Manzanita,ES,NULL
4,La vereda de la puerta de atrás,60,Extremoduro,ES,rock
5,San Pedro,0,"Revolver, Mick Glossp",ES,NULL
6,La casa por el tejado,59,Fito y Fitipaldis,ES,Spanish Rock
7,El peligro,0,Revolver,ES,metal
8,Yellow,86,Coldplay,ES,rock
9,Eso de saber,0,Revolver,ES,LO MAS
10,Carolina - En directo 2000,59,M-Clan,ES,NULL
11,Mestizo,0,Revolver,ES,Revolver
12,Dile,76,Don Omar,ES,Reggaeton
13,Ni na no,0,Javier Álvarez,ES,NULL
14,Vino Tinto,59,Estopa,ES,spanish
15,He Loves U Not,0,Dream,ES,pop
16,Cuando zarpa el amor,58,Camela,ES,hit
17,La vita è,1,Nek,ES,pop
18,Puedes Contar Conmigo,64,La Oreja de Van Gogh,ES,spanish
19,Stuck in the Middle with You,0,Louise,ES,pop
20,The Scientist,83,Coldplay,ES,Coldplay
21,Cabelo Raspadinho,2,Chiclete Com Banana,ES,brasil
22,Stand By,57,Extremoduro,ES,spanish
23,2 Faced,0,Louise,ES,pop
24,Somewhere Only We Know,80,Keane,ES,britpop
25,This Is Me,0,Dream,ES,pop
26,Without Me,83,Eminem,ES,rap
27,Dar A Volta No Brasil - Ao Vivo,0,Chiclete Com Banana,ES,NULL
28,El aire de la calle,56,Los Delinqüentes,ES,Flamenco
29,Beautiful Inside,0,Louise,ES,pop
30,Numb,83,Linkin Park,ES,rock
31,Quemando tus recuerdos - Gira 2002,0,Extremoduro,ES,NULL
32,Obsesion,73,"Aventura, Judy Santos",ES,NULL
33,American Life (Director's Cut) - 4K Remaster,0,Madonna,ES,NULL
34,Quiereme,55,El Barrio,ES,QUIEREME- EL BARRIO
35,HEY! JORDU!,0,PE'Z,ES,NULL
36,La Playa,69,La Oreja de Van Gogh,ES,pop
37,Welcome To Hell (Videoclip),0,Ska-P,ES,NULL
38,Cómo hablar,55,Amaral,ES,pop
39,Devolva-Me,1,Adriana Calcanhotto,ES,mpb
40,La Madre de Jose,55,El Canto Del Loco,ES,El Canto del Loco
41,This Is My Time,0,Sasha,ES,pop
42,In the End,82,Linkin Park,ES,rock
43,Rooftop,0,Sasha,ES,pop
44,Insoportable,54,El Canto Del Loco,ES,spanish
45,Kiedy góral umiera,0,Harlem,ES,polish
46,Clocks,79,Coldplay,ES,rock
47,Here She Comes Again,0,Sasha,ES,pop
48,20 de Enero,60,La Oreja de Van Gogh,ES,spanish
49,Turn It into Something Special,0,Sasha,ES,pop
50,Numb,83,Linkin Park,FR,rock
51,Angel,28,"Shaggy, Rayvon",FR,NULL
52,Without Me,83,Eminem,FR,rap
53,La vita è,1,Nek,FR,pop
54,Mockingbird,81,Eminem,FR,rap
