id,nombre,popularity,artista,pais,genero
0,Viva La Vida,82,Coldplay,DK,Coldplay
1,Clapton: Tears in Heaven/video,1,The Choirboys,DK,NULL
2,Kun For Mig,47,Medina,DK,danish
3,Get Around Town,0,Revolver,DK,rock
4,Vi To,47,Medina,DK,trance
5,Nothing to Lose,0,Operator,DK,rock
6,Heartless,80,Kanye West,DK,Kanye West
7,Coming Home,0,Sasha,DK,pop
8,Don't Stop The Music,78,Rihanna,DK,dance
9,Save Me,1,"Morandi, Helene",DK,NULL
10,Breakin' Dishes,81,Rihanna,DK,rnb
11,Da Rockwilder,0,"Method Man, Redman",DK,NULL
12,The Way I Are,78,"Timbaland, Keri Hilson, D.O.E.",DK,NULL
13,Tu Vuoi Da Me Qualcosa - Live,1,Vasco Rossi,DK,NULL
14,Proletar (Hvor Jeg Står),45,Suspekt,DK,Hip-Hop
15,Odio,1,Revolver,DK,spanish
16,Flashing Lights,80,"Kanye West, Dwele",DK,NULL
17,Historia universal (El amor no es lo que piensas),0,DELUXE,DK,indie
18,Headlock,83,Imogen Heap,DK,electronic
19,Esqueça Que Eu Te Amo - Ao Vivo,0,Edson & Hudson,DK,NULL
20,Poker Face,79,Lady Gaga,DK,pop
21,Colillas en el sueño,0,DELUXE,DK,NULL
22,Homecoming,76,"Kanye West, Chris Martin",DK,NULL
23,Goodbye,0,Sasha,DK,pop
24,Lidt I Fem,44,Rasmus Seebach,DK,pop
25,Stars of CCTV - Live at the Astoria,0,Hard-Fi,DK,NULL
26,Feel Good Inc.,82,Gorillaz,DK,alternative
27,Tendremos que esperar,0,DELUXE,DK,spanish pop
28,Hips Don't Lie (feat. Wyclef Jean),80,"Shakira, Wyclef Jean",DK,NULL
29,Mi rendición,0,Revolver,DK,Rock en Espanol
30,Just Dance,77,"Lady Gaga, Colby O'Donis",DK,NULL
31,J'étais comme eux,0,Demon One,DK,NULL
32,Umbrella,78,"Rihanna, JAY-Z",DK,NULL
33,Si es tan solo amor,0,Revolver,DK,blues guitar
34,505,81,Arctic Monkeys,DK,indie rock
35,Tá No Meu Coração - Ao Vivo,0,Edson & Hudson,DK,NULL
36,Fix You,81,Coldplay,DK,Coldplay
37,Start Of Something New,0,"Troy, Vanessa Hudgens",DK,NULL
38,Promiscuous,80,"Nelly Furtado, Timbaland",DK,NULL
39,No va más,0,Revolver,DK,rich spanish pop
40,Forever,75,Chris Brown,DK,Chris Brown
41,Slowly,0,Sasha,DK,pop
42,Boing!,43,Nik & Jay,DK,NULL
43,Soulcrusher,0,Operator,DK,Grunge
44,Sex on Fire,79,Kings of Leon,DK,rock
45,Womanizer (Director's Cut),0,Britney Spears,DK,my dance room
46,Et Sidste Kys (feat. Julie),43,"Nik & Jay, Julie",DK,NULL
47,Disco Eterno - Gira Me Verás Volver,0,Soda Stereo,DK,NULL
48,Party In The U.S.A.,76,Miley Cyrus,DK,pop
49,B.Y.O.B.,0,System Of A Down,DK,alternative metal
50,Headlock,83,Imogen Heap,EE,electronic
51,Clapton: Tears in Heaven/video,1,The Choirboys,EE,NULL
52,Breakin' Dishes,81,Rihanna,EE,rnb
53,Save Me,1,"Morandi, Helene",EE,NULL
54,Feel Good Inc.,82,Gorillaz,EE,alternative
55,Tu Vuoi Da Me Qualcosa - Live,1,Vasco Rossi,EE,NULL
56,505,81,Arctic Monkeys,EE,indie rock
57,Odio,1,Revolver,EE,spanish
