,nombre,popularity,artista,pais,genero
0,Just the Way You Are,78,Bruno Mars,DK,pop
1,Lågsus (feat. Medina),0,"Specktors, Medina",DK,NULL
2,Lost,78,Frank Ocean,DK,rnb
3,"Cheri Cheri Lady (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",2,Modern Talking,DK,NULL
4,Locked out of Heaven,85,Bruno Mars,DK,pop
5,My Girl (feat. Trevor Jackson),0,"Diggy, Trevor Jackson",DK,NULL
6,Gennem Byen,48,Ukendt Kunstner,DK,hip hop
7,Plastic Dreams 2003,2,JayDee,DK,NULL
8,Neonlys,48,Ukendt Kunstner,DK,badass
9,"Atlantis Is Calling (Na, sowas! 17.05.1986) - Live from Na, sowas!, 1986",0,Modern Talking,DK,NULL
10,LoveHate Thing (feat. Sam Dew),76,"Wale, Sam Dew",DK,NULL
11,"Heaven Will Know (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",0,Modern Talking,DK,NULL
12,Under Stjernerne På Himlen,47,Rasmus Seebach,DK,denmark
13,"Geronimo's Cadillac (Peters Pop-Show 06.12.1986) - Live from Peters Pop-Show, 1986",0,Modern Talking,DK,NULL
14,Another Love,82,Tom Odell,DK,indie
15,My Love a Piece of My Love (feat. Snoop Dogg),0,"Abel The Kid, Julio Iglesias Jr.",DK,NULL
16,Wake Me Up,82,Avicii,DK,electronic
17,"You Can Win If You Want (Wetten, dass...? 18.05.1985) - Live from Wetten, dass...?, 1985",0,Modern Talking,DK,NULL
18,A Sky Full of Stars,83,Coldplay,DK,pop
19,Wind Song,0,Revolver,DK,indie
20,Grenade,77,Bruno Mars,DK,pop
21,25 ปี (มีหวัง),0,พงษ์สิทธิ์ คำภีร์,DK,NULL
22,Novembervej,47,Nik & Jay,DK,NULL
23,Byłem (feat. As),0,"Pezet, As",DK,NULL
24,Someone Like You,77,Adele,DK,Adele
25,"Pani Da Rang (From ""Vicky Donor"") - Male Vocals",0,"Abhishek - Akshay, Ayushmann Khurrana",DK,NULL
26,Take Me To Church,78,Hozier,DK,indie
27,"You Are Not Alone (Wetten, dass...? 20.02.1999) - Live from Wetten, dass...?, 1999",0,Modern Talking,DK,NULL
28,When I Was Your Man,83,Bruno Mars,DK,pop
29,Ballada o Janku Wisniewskim,1,Kazik,DK,rock
30,Give Me Everything (feat. Nayer),82,"Pitbull, AFROJACK, Ne-Yo, Nayer",DK,NULL
31,Now Is the Time (feat. Jasmine V),0,Wally Lopez,DK,NULL
32,Sweater Weather,85,The Neighbourhood,DK,indie
33,Bede Z Toba,9,Lemon,DK,NULL
34,Thinkin Bout You,81,Frank Ocean,DK,rnb
35,Bede Z Toba - Hangout Live,2,Lemon,DK,NULL
36,Mod Solnedgangen,46,Nik & Jay,DK,NULL
37,Iré tras de ti,0,Mr.,DK,NULL
38,We Found Love,73,"Rihanna, Calvin Harris",DK,NULL
39,Il fait chaud,0,Patrick Sébastien,DK,fiesta
40,All of Me,81,John Legend,DK,rnb
41,Fragile (Director's Cut),0,"Tech N9ne, Kendrick Lamar, ¡MAYDAY!, Kendall Morgan",DK,NULL
42,Timber,80,"Pitbull, Kesha",DK,NULL
43,The Real Slim Shady - Edited,0,Eminem,DK,NULL
44,Øde Ø,46,Rasmus Seebach,DK,NULL
45,Smile,0,"Abel The Kid, Julio Iglesias Jr.",DK,NULL
46,Olivia,46,Rasmus Seebach,DK,male vocalists
47,G.U.Y. - An ARTPOP Film,0,Lady Gaga,DK,gaga
48,Story of My Life,81,One Direction,DK,pop
49,好不好,0,Evan Yo,DK,fabulous boys
50,Sweater Weather,85,The Neighbourhood,EE,indie
51,"Cheri Cheri Lady (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",2,Modern Talking,EE,NULL
52,LVL,76,A$AP Rocky,EE,rap
53,Ballada o Janku Wisniewskim,1,Kazik,EE,rock
54,Lovers Rock,82,TV Girl,EE,indie pop
55,"Atlantis Is Calling (Na, sowas! 17.05.1986) - Live from Na, sowas!, 1986",0,Modern Talking,EE,NULL
56,Money Trees,79,"Kendrick Lamar, Jay Rock",EE,NULL
57,"Geronimo's Cadillac (Peters Pop-Show 06.12.1986) - Live from Peters Pop-Show, 1986",0,Modern Talking,EE,NULL
58,I Wanna Be Yours,86,Arctic Monkeys,EE,indie rock
59,"You Can Win If You Want (Wetten, dass...? 18.05.1985) - Live from Wetten, dass...?, 1985",0,Modern Talking,EE,NULL
60,She Will,75,"Lil Wayne, Drake",EE,NULL
