nombre,popularity,artista,pais,genero
Mi Refe,84,"Beéle, Ovy On The Drums",ES,NULL
That’s So True - Live From Radio City Music Hall,19,Gracie Abrams,ES,NULL
GRAN VÍA,75,"Quevedo, Aitana",ES,NULL
Hurt,11,OneRepublic,ES,NULL
capaz (merengueton),80,"Alleh, Yorghaki",ES,NULL
Risk - Live From The Tonight Show With Jimmy Fallon,8,Gracie Abrams,ES,NULL
capaz (merengueton),82,"Alleh, Yorghaki",ES,NULL
Cono Hielo,1,"CA7RIEL & Paco Amoroso, CA7RIEL, Paco Amoroso",ES,NULL
Si Antes Te Hubiera Conocido,88,KAROL G,ES,NULL
"J.S. Bach: Violin Partita No. 2 in D Minor, BWV 1004 - I. Allemanda",3,"Johann Sebastian Bach, Carolin Widmann",ES,NULL
el ingeniero,77,"Alleh, Yorghaki",ES,NULL
DUMBAI,1,"CA7RIEL & Paco Amoroso, CA7RIEL, Paco Amoroso",ES,NULL
Yo sé,77,"Yan Block, TORRRES",ES,NULL
Circles,7,SAINt JHN,ES,NULL
Qué Pasaría...,86,"Rauw Alejandro, Bad Bunny",ES,NULL
"Rachmaninov: Rhapsody on a Theme of Paganini, Op. 43: Variation 18 (Andante cantabile)",3,"Sergei Rachmaninoff, Martin James Bartlett, Joshua Weilerstein, London Philharmonic Orchestra",ES,NULL
una noche,75,"Alleh, Yorghaki",ES,NULL
Family Feud - Live at The Ford,2,FINNEAS,ES,NULL
Imagínate,83,"Danny Ocean, Kapo",ES,NULL
Ciao,0,"Rouss, Walls",ES,NULL
Se Pone Las Nike,70,Cano,ES,NULL
TV - Live From Singapore’s Cloud Forest,2,Billie Eilish,ES,NULL
IA,74,"Clarent, Mora",ES,NULL
BABY GANGSTA,1,"CA7RIEL & Paco Amoroso, CA7RIEL, Paco Amoroso",ES,NULL
Q U E V A S H A C E R H O Y ?,81,"Omar Courtz, De La Rose",ES,NULL
All We Got (feat. KIDDO),15,"Robin Schulz, KIDDO",ES,NULL
DEGENERE 👑 (feat. benny blanco),80,"Myke Towers, benny blanco",ES,NULL
Adiquerala - Bulería,0,"Kiki Morente, Carlos De La Jacoba",ES,NULL
Te Regalo,74,"Rels B, J Abecia",ES,NULL
Passenger Princess,5,"Aminé, Smino",ES,NULL
SE FUE,71,"Moncho Chavea, Morad",ES,NULL
MR. MOONDIAL,70,"Quevedo, Pitbull",ES,NULL
Aimer à moitié,2,Calema,ES,NULL
STAR,68,JC Reyes,ES,NULL
Rodeo (Remix),9,"Lah Pat, Flo Milli",ES,NULL
Die With A Smile,96,"Lady Gaga, Bruno Mars",ES,NULL
La Carta Que Nunca Te Escribí - Remix,0,"Lu Decker, Dudi",ES,NULL
"Luck Ra: Bzrp Music Sessions, Vol. 61",77,"Bizarrap, Luck Ra",ES,NULL
Pasatiempo,5,"La China, ECKO",ES,NULL
Duro De Verdad pt.2,68,"Los Sufridos, Bad Gyal",ES,NULL
Tuck Your Chain,0,"Money Man, Danny Towers",ES,NULL
Luna llena,69,Beny Jr,ES,NULL
Tussi Code Mari,5,"Marcianeke, Crismj",ES,NULL
LUNA,84,"Feid, ATL Jacob",ES,NULL
Party Jumpin’,3,"Jamie Brown, Marshmello",ES,NULL
Hm Hm Hm - Remix,68,"Rvfv, Youka, Wesh Music",ES,NULL
TRES - Cortometraje,1,Bratty,ES,NULL
Ohnana,77,Kapo,ES,NULL
Don't Play by the Rules,3,"D.T.E, PREZIOSO",ES,NULL
NANANI NANANA,74,Gazo,FR,NULL
Happier Than Ever - Live From Disney’s Happier Than Ever/A Love Letter to Los Angeles,2,Billie Eilish,FR,NULL
CIEL,73,GIMS,FR,NULL
TV - Live From Singapore’s Cloud Forest,2,Billie Eilish,FR,NULL
Die With A Smile,96,"Lady Gaga, Bruno Mars",FR,NULL
"J.S. Bach: Violin Partita No. 2 in D Minor, BWV 1004 - I. Allemanda",3,"Johann Sebastian Bach, Carolin Widmann",FR,NULL
4 Kampé,73,Joé Dwèt Filé,FR,NULL
Silverlines Orchestral Version,0,Damiano David,FR,NULL
CARTIER SANTOS,72,SDM,FR,NULL
Love Of Mine,0,Imagine Dragons,FR,NULL
CIEL,71,GIMS,FR,NULL
Don't Play by the Rules,3,"D.T.E, PREZIOSO",FR,NULL
Minimum ça,71,Dr. Yaro,FR,NULL
That’s So True - Live From Radio City Music Hall,19,Gracie Abrams,FR,NULL
APT.,91,"ROSÉ, Bruno Mars",FR,NULL
Rid Of Me - Live,3,Still Woozy,FR,NULL
POUR ELLE,70,SDM,FR,NULL
Babylon - Live,3,Tamino,FR,NULL
BIRDS OF A FEATHER,93,Billie Eilish,FR,NULL
Family Feud - Live at The Ford,2,FINNEAS,FR,NULL
Ça parle mal,70,Bouss,FR,NULL
Full Round Table,0,CQ Wrestling,FR,NULL
Mauvais Garçon,70,Helena,FR,NULL
