,url,supermarket,name,description,product_id
2362486,https://www.dia.es/compra-online/cuidado-del-hogar/lavavajillas/p/181184,dia-es,MISTOL lavavajillas mano original botella 900 ml,,9e2fda45e63337294f2a604178823026
2362487,https://www.dia.es/compra-online/cuidado-del-hogar/lavavajillas/p/223986,dia-es,DIA lavavajillas máquina premium todo en uno en cápsulas caja 35 uds,,244994c762813d38881cb118742152a2
2362488,https://www.dia.es/compra-online/cuidado-del-hogar/lavavajillas/p/255069,dia-es,FAIRY lavavajillas máquina platinum azul en cápsulas 46 uds,,8a5398b602e44b93a0c0a4a7b9d22b84
2362489,https://www.dia.es/compra-online/cuidado-del-hogar/lavavajillas/p/257617,dia-es,FAIRY lavavajillas máquina platinum plus limón bolsa 18 cápsulas,,2cd7ea87b1963adb51d8e1295f6c14d3
2362501,https://www.dia.es/compra-online/cuidado-del-hogar/lavavajillas/p/211650,dia-es,FAIRY lavavajillas mano concentrado aloe vera botella 500 ml,,4abac3d30922f81012d7ae0c2cd955f2
2362502,https://www.dia.es/compra-online/cuidado-del-hogar/lavavajillas/p/209779,dia-es,DIA lavavajillas mano super concentrado botella 750 ml,,bfa1e29fbdded3b51541e3c6ebb4b8ac
2362504,https://www.dia.es/compra-online/cuidado-del-hogar-de-limpieza/bano/p/1856,dia-es,PATO gel limpiador wc 3 en 1 océano botella 750 ml,,9a3fbb9a9ef4fcc73769a1dfbaf50700
2362505,https://www.dia.es/compra-online/cuidado-del-hogar-de-limpieza/bano/p/39545,dia-es,DIA gel limpiador wc azul aroma frescor oceánico botella 1lt,,fd7e863cdf9d88013d1e23c511c79977
2362517,https://www.dia.es/compra-online/mascotas/perros/p/112418,dia-es,AS snack para perros de pollo bolsa 200 gr,,6acdf9174970055d19fdaa2844558837
2362518,https://www.dia.es/compra-online/cuidado-del-hogar-de-limpieza/hogar/p/59634,dia-es,DIA limpiador cera incolora para terrazo y baldosas botella 1 lt,,7ded4037af4c190336208176ad0e4aae
2362519,https://www.dia.es/compra-online/cuidado-del-hogar-de-limpieza/hogar/p/85349,dia-es,TENN limpiador con bioalcohol aloe vera botella 1.3 lt,,260267ef89a7091ac21a91a7a33018a2
2362520,https://www.dia.es/compra-online/cuidado-del-hogar-de-limpieza/hogar/p/257059,dia-es,ESTRELLA lejía en pastillas bote 32 uds,,a4c63aecbb327acfc99b4d26a74a6836
2362521,https://www.dia.es/compra-online/cuidado-del-hogar-de-limpieza/hogar/p/275965,dia-es,DON LIMPIO toallitas multiusos envase 24 uds,,ab77fb79af2811abc9643a025e96b2c8
2362522,https://www.dia.es/compra-online/cuidado-del-hogar-de-limpieza/hogar/p/199790,dia-es,AJAX limpiador pino botella 1.25 lt,,f1038edcb83da41d821e02f5372813f4
2362523,https://www.dia.es/compra-online/cuidado-del-hogar-de-limpieza/hogar/p/225563,dia-es,SANICENTRO limpiador multi desinfectante botella 2 lt,,b75c71535de7414473ddacde23d78415
2362524,https://www.dia.es/compra-online/cuidado-del-hogar-de-limpieza/hogar/p/233091,dia-es,SANYTOL limpiador desinfectante cocinas pistola 750 ml,,7dba734420e0d3c928ee951df1beaaca
2362525,https://www.dia.es/compra-online/cuidado-del-hogar-de-limpieza/hogar/p/234278,dia-es,CILLIT BANG limpiador suciedad humedad pistola 750 ml,,2b02809f85c113e4cced3a694450b8e8
2362526,https://www.dia.es/compra-online/cuidado-del-hogar-de-limpieza/hogar/p/236996,dia-es,WC NET desatascador turbo botella 500 ml,,0ae30aabbb84df742bd62928f47a8dab
2362527,https://www.dia.es/compra-online/cuidado-del-hogar-de-limpieza/hogar/p/159540,dia-es,MAYORDOMO limpia mopas spray 750 ml,,a1d3f468b1f4c975e0d7e96170a01ddf
2362528,https://www.dia.es/compra-online/cuidado-del-hogar-de-limpieza/hogar/p/223244,dia-es,ASEVI desinfectante multiusos gerpostar plus pistola 750 ml,,7f3ccbf62715bb863f9a6e320d69ec97
2362529,https://www.dia.es/compra-online/cuidado-del-hogar-de-limpieza/hogar/p/264715,dia-es,COOPER PROTECT alcohol limpiador multiusos spray 300 ml,,15dabaa7e8cba3c4f75a5520fd3767fe
